Drug_Class_ID,Drug_Class_Name,Slug
1,4-Quinolone preparations,"4-quinolone-preparations-55,16"
2,5-HT Agonists,"5-ht-agonists-155,5"
3,Abdominal gas adsorbent preparations,"abdominal-gas-adsorbent-preparations-392,0"
4,Acne treatment preparations,"acne-treatment-preparations-561,4"
5,Adenosine triphosphate-citrate lyase (ACL) inhibitor,"adenosine-triphosphate-citrate-lyase-acl-inhibitor-658,0"
6,Adjunct anti-epileptic drugs,"adjunct-anti-epileptic-drugs-168,11"
7,Aldose reductase inhibitor,"aldose-reductase-inhibitor-591,1"
8,Alpha adrenoceptor blocking drugs,"alpha-adrenoceptor-blocking-drugs-125,5"
9,Alpha and Beta-adrenergic agonist,"alpha-and-beta-adrenergic-agonist-126,0"
10,Alpha-Glucosidase inhibitor,"alpha-glucosidase-inhibitor-612,3"
11,Aminoglycosides,"aminoglycosides-56,4"
12,Aminosalicylates,"aminosalicylates-655,1"
13,Amoebicides,"amoebicides-79,5"
14,Anabolic steroid (Androgens),"anabolic-steroid-androgens-592,2"
15,Anaphylaxis,"anaphylaxis-21,1"
16,Angiotensin-converting enzyme (ACE) inhibitors,"angiotensin-converting-enzyme-ace-inhibitors-118,5"
17,Angiotensin-ll receptor blocker,"angiotensin-ll-receptor-blocker-117,7"
18,Antacid with laxative action,"antacid-with-laxative-action-393,3"
19,Antacids,"antacids-407,6"
20,Anthelmintic,"anthelmintic-78,5"
21,Anti adrenergic agent (Beta blockers),"anti-adrenergic-agent-beta-blockers-113,3"
22,Anti H. pylori drugs,"anti-h-pylori-drugs-531,3"
23,Anti neoplastic preparations,"anti-neoplastic-preparations-232,5"
24,Anti vertigo drugs,"anti-vertigo-drugs-170,3"
25,Anti-Alzheimer drugs,"anti-alzheimer-drugs-173,1"
26,Anti-anginal & lipid lowering drugs,"anti-anginal-lipid-lowering-drugs-107,1"
27,Antiarrhythmic Therapy,"antiarrhythmic-therapy-630,0"
28,Anticavity Mouthwash,"anticavity-mouthwash-624,1"
29,Anti-cholinergic & anti-psychotic combination drugs,"anti-cholinergic-anti-psychotic-combination-drugs-532,0"
30,Anticholinergic bronchodilators,"anticholinergic-bronchodilators-475,3"
31,Anticholinergics,"anticholinergics-535,6"
32,Anticholinergics (antimuscarinics)/ Anti-spasmodics,"anticholinergics-antimuscarinics-anti-spasmodics-534,12"
33,Anti-cholinesterases,"anti-cholinesterases-34,1"
34,Anti-coagulants,"anti-coagulants-513,3"
35,Anti-diarrhoeal,"anti-diarrhoeal-401,3"
36,Anti-diarrhoeal Antimicrobial drugs,"anti-diarrhoeal-antimicrobial-drugs-402,4"
37,Anti-diarrhoeal Antiprotozoal,"anti-diarrhoeal-antiprotozoal-403,4"
38,Anti-diarrhoeal Enzyme,"anti-diarrhoeal-enzyme-404,0"
39,Antidote preparations,"antidote-preparations-177,12"
40,Anti-dyspeptic/Carminatives,"anti-dyspepticcarminatives-408,2"
41,Anti-emetic drugs,"anti-emetic-drugs-171,15"
42,Anti-fibrinolytic drugs,"anti-fibrinolytic-drugs-103,4"
