Generic_ID,Generic_Name,Slug,Drug_Class_ID
1,23 herb formula to increase breast milk,23-herb-formula-to-increase-breast-milk-1833,994
2,Abacavir + Lamivudine + Zidovudine,abacavir-lamivudine-zidovudine-24,810
3,Abemaciclib,abemaciclib-2043,1381
4,Abhayarista,abhayarista-1752,990
5,Abiraterone Acetate,abiraterone-acetate-1294,745
6,Acacia + Dates + Asparagus + Edible Pine,acacia-dates-asparagus-edible-pine-1715,960
7,Acalabrutinib,acalabrutinib-2040,1552
8,Acarbose,acarbose-27,461
9,Aceclofenac,aceclofenac-3,830
10,Acemetacin,acemetacin-21,1195
11,Acetate Formulation [Hemodialysis Solution],acetate-formulation-hemodialysis-solution-184,933
12,Acetazolamide,acetazolamide-26,656
13,Acetylcysteine,acetylcysteine-6,526
14,Acidic component [HCO3 Hemodialysis Solution],acidic-component-hco3-hemodialysis-solution-177,933
15,Acitretin,acitretin-25,1262
16,Aclidinium Bromide + Formoterol Fumarate,aclidinium-bromide-formoterol-fumarate-2060,702
17,Activated Charcoal,activated-charcoal-22,525
18,Acyclovir (Injection),acyclovir-injection-7,1033
19,Acyclovir (Ophthalmic),acyclovir-ophthalmic-13,1217
20,Acyclovir (Oral),acyclovir-oral-12,1033
21,Acyclovir (Topical),acyclovir-topical-9,1527
22,Acyclovir + Hydrocortisone,acyclovir-hydrocortisone-10,1044
23,Adalimumab,adalimumab-31,1060
24,Adapalene,adapalene-14,1531
25,Adapalene + Benzoyl peroxide,adapalene-benzoyl-peroxide-11,1530
26,Adefovir Dipivoxil,adefovir-dipivoxil-15,941
27,Adenosine,adenosine-23,1347
28,Adhatoda vasica + Centella asiatica,adhatoda-vasica-centella-asiatica-1893,422
29,Adrenaline,adrenaline-28,1271
30,Adsorbed Tetanus Vaccine,adsorbed-tetanus-vaccine-1057,1581
31,Afatinib Dimaleate,afatinib-dimaleate-1849,1553
32,Aflibercept,aflibercept-1287,741
33,Agomelatine,agomelatine-35,588
34,Albendazole,albendazole-16,483
35,Albumin (Human),albumin-human-545,1360
36,Alcaftadine,alcaftadine-29,1201
37,Alectinib,alectinib-1501,1382
38,Alendronic acid,alendronic-acid-30,630
39,Alendronic Acid + Vitamin D3,alendronic-acid-vitamin-d3-37,713
40,Alfacalcidol,alfacalcidol-40,1588
41,Alfuzosin Hydrochloride,alfuzosin-hydrochloride-41,636
42,Allium cepa + Heparin + Allantoin,allium-cepa-heparin-allantoin-2031,422
43,Allopurinol,allopurinol-17,854
44,Allylestrenol,allylestrenol-1369,893
45,Almitrine Bismesylate + Raubasine,almitrine-bismesylate-raubasine-39,668
46,Almond + Coconut + Edible Pine + Salep,almond-coconut-edible-pine-salep-1716,982
47,Almotriptan,almotriptan-44,444
48,Aloe + Black Pepper + Henbane,aloe-black-pepper-henbane-1705,983
49,Aloe indica+ Hyoscyamus niger + Piper nigrum,aloe-indica-hyoscyamus-niger-piper-nigrum-1742,990
50,Alogliptin Benzoate,alogliptin-benzoate-1871,770
51,Alpha Lipoic Acid,alpha-lipoic-acid-2054,422
52,Alphanate,alphanate-1167,936
53,Alprazolam,alprazolam-18,615
54,Alteplase,alteplase-1499,900
55,Aluminium Chloride + Melaleuca Alternifolia Oil + Geothermal water,aluminium-chloride-melaleuca-alternifolia-oil-geothermal-water-1829,1146
56,Aluminium Chloride Hexahydrate,aluminium-chloride-hexahydrate-45,1151
57,Aluminium Hydroxide + Magnesium Hydroxide,aluminium-hydroxide-magnesium-hydroxide-19,480
58,Aluminium Hydroxide + Magnesium Hydroxide + Simethicone,aluminium-hydroxide-magnesium-hydroxide-simethicone-20,480
59,Aluminium Oxide + Magnesium Trisilicate,aluminium-oxide-magnesium-trisilicate-1297,477
60,Alverine Citrate,alverine-citrate-49,509
61,Amalaki Rasayana,amalaki-rasayana-1743,966
62,Amantadine Hydrochloride,amantadine-hydrochloride-50,1399
