Indication_ID,Indication_Name,Slug
1,Abdominal pain,abdominal-pain-2000
2,Abortion,abortion-2001
3,Abrasion,abrasion-2002
4,Abscesses,abscesses-2003
5,Absence seizures,absence-seizures-2004
6,Achalasia,achalasia-2005
7,Acid regurgitation,acid-regurgitation-2006
8,Acidosis,acidosis-2008
9,Acid-related dyspepsia,acid-related-dyspepsia-2007
10,Acne rosacea,acne-rosacea-3908
11,Acne vulgaris,acne-vulgaris-2009
12,Acquired immunodeficiency syndrome (AIDS),acquired-immunodeficiency-syndrome-aids-2010
13,Acrocyanosis,acrocyanosis-2011
14,Acromegaly,acromegaly-2012
15,Acromegaly and hyperprolactinemia,acromegaly-and-hyperprolactinemia-3775
16,Actinic keratosis,actinic-keratosis-2013
17,Active immunisation against diphtheria; tetanus and pertussis,active-immunisation-against-diphtheria-tetanus-and-pertussis-4099
18,Active immunisation against hepatitis A,active-immunisation-against-hepatitis-a-3854
19,Active immunisation against hepatitis B,active-immunisation-against-hepatitis-b-3855
20,Active immunisation against mumps,active-immunisation-against-mumps-2933
21,Active immunisation against Poliomyelitis,active-immunisation-against-poliomyelitis-3131
22,Active immunisation against rabies,active-immunisation-against-rabies-4004
23,Active immunisation against tetanus,active-immunisation-against-tetanus-2014
24,Active immunisation against varicella infection,active-immunisation-against-varicella-infection-4056
25,Active immunisation for the prevention of pneumonia,active-immunisation-for-the-prevention-of-pneumonia-3976
26,Active immunization against Hepatitis A virus,active-immunization-against-hepatitis-a-virus-4193
27,Active immunization against typhoid fever,active-immunization-against-typhoid-fever-4055
28,Acute & chronic conjunctivitis,acute-chronic-conjunctivitis-2015
29,Acute agitation,acute-agitation-2019
30,Acute and chronic diseases of respiratory tracts,acute-and-chronic-diseases-of-respiratory-tracts-3637
31,Acute and chronic non-infectious conjunctivitis,acute-and-chronic-non-infectious-conjunctivitis-3946
32,Acute asthma,acute-asthma-2020
33,Acute bacterial ear infections,acute-bacterial-ear-infections-2021
34,Acute bacterial exacerbations of chronic bronchitis,acute-bacterial-exacerbations-of-chronic-bronchitis-3711
35,Acute bacterial sinusitis,acute-bacterial-sinusitis-2022
36,Acute bronchospasm,acute-bronchospasm-3646
37,Acute coronary insufficiency,acute-coronary-insufficiency-4059
38,Acute coronary syndrome,acute-coronary-syndrome-3658
39,Acute coronary syndromes (unstable angina; non-ST elevation MI; ST elevation MI),acute-coronary-syndromes-unstable-angina-non-st-elevation-mi-st-elevation-mi-4048
40,Acute dental infections,acute-dental-infections-3931
41,Acute diarrhoea,acute-diarrhoea-4005
42,Acute Evolving Myocardial Infarction,acute-evolving-myocardial-infarction-4023
43,Acute Exacerbations of Chronic bronchitis,acute-exacerbations-of-chronic-bronchitis-2016
44,Acute Exposure to Blood Containing HBsAg,acute-exposure-to-blood-containing-hbsag-4162
45,Acute gonorrheal urethritis,acute-gonorrheal-urethritis-2023
46,Acute gout,acute-gout-2024
47,Acute gouty arthritis,acute-gouty-arthritis-3673
48,Acute graft rejection in renal transplantation,acute-graft-rejection-in-renal-transplantation-2025
49,Acute heart failure,acute-heart-failure-2026
50,Acute hemorrhoidal thrombosis,acute-hemorrhoidal-thrombosis-4179
51,Acute hypertension,acute-hypertension-4058
52,Acute hypovolaemic shock,acute-hypovolaemic-shock-3631
53,Acute lupus erythematosus,acute-lupus-erythematosus-2027
54,Acute lymphoblastic leukaemia,acute-lymphoblastic-leukaemia-4064
55,Acute Lymphocytic Leukemia,acute-lymphocytic-leukemia-2017
56,Acute manic episodes of bipolar disorder,acute-manic-episodes-of-bipolar-disorder-3657
57,Acute Massive Pulmonary Embolism,acute-massive-pulmonary-embolism-4024
58,Acute maxillary sinusitis,acute-maxillary-sinusitis-3710
59,Acute migraine attacks,acute-migraine-attacks-2028
60,Acute Ml,acute-ml-2018
61,Acute mucosal infections of the mouth and pharynx,acute-mucosal-infections-of-the-mouth-and-pharynx-3990
62,Acute myeloid leukaemia,acute-myeloid-leukaemia-2029
63,Acute necrotising ulcerative gingivitis,acute-necrotising-ulcerative-gingivitis-2030
64,Acute non articular rheumatism,acute-non-articular-rheumatism-3902
65,Acute nonspecific gastroenteritis,acute-nonspecific-gastroenteritis-2031
66,Acute or chronic narrow angle glaucoma,acute-or-chronic-narrow-angle-glaucoma-4121
67,Acute otitis media,acute-otitis-media-2032
68,Acute pain,acute-pain-3952
69,Acute painful shoulder,acute-painful-shoulder-4027
70,Acute promyelocytic leukaemia,acute-promyelocytic-leukaemia-2033
71,Acute psychosis,acute-psychosis-2034
72,Acute pulmonary oedema,acute-pulmonary-oedema-2035
73,Acute purulent conjunctivitis,acute-purulent-conjunctivitis-3716
74,Acute renal failure,acute-renal-failure-2036
75,Acute rheumatic carditis,acute-rheumatic-carditis-2037
76,Acute salmonellosis,acute-salmonellosis-2038
77,Acute severe asthma,acute-severe-asthma-4011
78,Acute solar dermatitis,acute-solar-dermatitis-2039
79,Acute sore throat,acute-sore-throat-2040
80,Acute trauma,acute-trauma-2041
81,Acute uncomplicated malaria,acute-uncomplicated-malaria-2042
82,Adenocarcinoma,adenocarcinoma-3883
