Manufacturer_ID,Manufacturer_Name,Slug
1,Abbott Laboratories,abbott-laboratories-233
2,ACI Limited,aci-limited-2
3,ACM laboratoire dermatologique,acm-laboratoire-dermatologique-326
4,ACME Laboratories Ltd.,acme-laboratories-ltd-3
5,Ad-din Pharmaceuticals Ltd.,ad-din-pharmaceuticals-ltd-103
6,Adienne Pharma; Switzerland,adienne-pharma-switzerland-322
7,ADM Protexin Ltd,adm-protexin-ltd-329
8,Aexim Pharmaceuticals Ltd.,aexim-pharmaceuticals-ltd-114
9,Alco Pharma Ltd.,alco-pharma-ltd-4
10,Alien Pharma,alien-pharma-304
11,Alkad Laboratories,alkad-laboratories-245
12,Allergan; Inc.,allergan-inc-198
13,Allied Pharmaceuticals Ltd.,allied-pharmaceuticals-ltd-115
14,Al-Madina Pharmaceuticals Ltd.,al-madina-pharmaceuticals-ltd-292
15,Alpha Therapeutic Corporation,alpha-therapeutic-corporation-218
16,Ambee Pharmaceuticals Ltd.,ambee-pharmaceuticals-ltd-5
17,Amico Laboratories Ltd.,amico-laboratories-ltd-6
18,Amulet Pharmaceuticals Ltd.,amulet-pharmaceuticals-ltd-7
19,APC Pharma Ltd.,apc-pharma-ltd-128
20,Apex Pharmaceuticals Ltd.,apex-pharmaceuticals-ltd-8
21,Apollo Pharmaceutical Ltd.,apollo-pharmaceutical-ltd-9
22,AqVida bangladesh,aqvida-bangladesh-258
23,AqVida GmbH,aqvida-gmbh-334
24,Arges Life Science Limited,arges-life-science-limited-289
25,Aristopharma Ltd.,aristopharma-ltd-10
26,Asiatic Laboratories Ltd.,asiatic-laboratories-ltd-81
27,Astra Biopharmaceuticals Ltd.,astra-biopharmaceuticals-ltd-11
28,AstraZeneca pharmaceuticals,astrazeneca-pharmaceuticals-293
29,Aztec Pharmaceuticals Ltd.,aztec-pharmaceuticals-ltd-246
30,Baxter,baxter-283
31,Beacon Pharmaceuticals Ltd.,beacon-pharmaceuticals-ltd-13
32,Belsen Pharmaceuticals Ltd.,belsen-pharmaceuticals-ltd-110
33,Bengal drugs Ltd.,bengal-drugs-ltd-169
34,Benham Pharmaceuticals Ltd.,benham-pharmaceuticals-ltd-107
35,Beximco Pharmaceuticals Ltd.,beximco-pharmaceuticals-ltd-14
36,Biogen Pharmaceuticals Ltd.,biogen-pharmaceuticals-ltd-102
37,Biopharma Laboratories Ltd.,biopharma-laboratories-ltd-15
38,Biotest,biotest-281
39,Boehringer Ingelheim,boehringer-ingelheim-308
40,BOTS Pvt. Limited,bots-pvt-limited-191
41,Bristol Myers Squibb,bristol-myers-squibb-181
42,Bristol Pharmaceuticals Ltd.,bristol-pharmaceuticals-ltd-16
43,Bronson  Laboratories (BD) Ltd.,bronson-laboratories-bd-ltd-336
44,C.B. Fleet Company; USA,cb-fleet-company-usa-302
45,Centeon Pharma Ltd.,centeon-pharma-ltd-273
46,Central Pharmaceuticals Ltd.,central-pharmaceuticals-ltd-171
47,Chairon SPA,chairon-spa-228
48,Chemist Laboratories  Ltd.,chemist-laboratories-ltd-18
49,Chepla Pharm-Gmbh,chepla-pharm-gmbh-310
50,Choongwae Pharma Corporation,choongwae-pharma-corporation-140
51,Cipla Limited,cipla-limited-162
52,City Overseas Ltd.,city-overseas-ltd-174
53,Concord Pharmaceuticals Ltd.,concord-pharmaceuticals-ltd-19
54,Cosmic Pharma Ltd.,cosmic-pharma-ltd-153
55,Cosmo Pharma Ltd.,cosmo-pharma-ltd-117
56,Credence Pharmaceuticals Ltd.,credence-pharmaceuticals-ltd-276
57,CSL Behring,csl-behring-219
58,D16 Pharma & Biotec,d16-pharma-biotec-278
59,Dabur India Limited,dabur-india-limited-301
60,DBL Pharmaceuticals Ltd.,dbl-pharmaceuticals-ltd-330
61,Decent Pharma Laboratories Ltd.,decent-pharma-laboratories-ltd-101
62,Delta Pharma Ltd.,delta-pharma-ltd-83
63,Desh Pharmaceuticals Ltd.,desh-pharmaceuticals-ltd-22
64,Doctor TIMS Pharmaceuticals Ltd.,doctor-tims-pharmaceuticals-ltd-24
65,Doctorâ€™s Chemical Works Ltd.,doctors-chemical-works-ltd-23
66,Drug International Ltd.,drug-international-ltd-25
67,Edruc Limited,edruc-limited-119
68,Efroze Chemical Industries Ltd,efroze-chemical-industries-ltd-319
69,EGIS Pharmaceuticals Ltd.,egis-pharmaceuticals-ltd-185
70,Eisai Pharmaceutical company,eisai-pharmaceutical-company-311
71,Eli Lilly and Company,eli-lilly-and-company-183
72,Empiric Laboratories Ltd.,empiric-laboratories-ltd-305
73,Eskayef Pharmaceuticals Ltd.,eskayef-pharmaceuticals-ltd-27
74,Ethical Drug Ltd.,ethical-drug-ltd-157
75,Euro Pharma Ltd.,euro-pharma-ltd-121
76,Everest Pharmaceuticals Ltd.,everest-pharmaceuticals-ltd-127
77,Excella; Germany,excella-germany-223
78,Fabrique en France,fabrique-en-france-296
79,Ferring Pharmaceuticals Ltd.,ferring-pharmaceuticals-ltd-309
80,FnF Pharmaceuticals Ltd.,fnf-pharmaceuticals-ltd-266
81,Fresenius Kabi,fresenius-kabi-220
82,Gaco Pharmaceuticals Ltd.,gaco-pharmaceuticals-ltd-137
83,Gedeon Richter; Hungary,gedeon-richter-hungary-232
84,General Pharmaceuticals Ltd.,general-pharmaceuticals-ltd-29
85,Genvio Pharma Ltd.,genvio-pharma-ltd-30
86,Genzyme Corporation,genzyme-corporation-282
87,Get Well Limited,get-well-limited-267
88,GlaxoSmithKline,glaxosmithkline-52
89,Globe Pharmaceuticals Ltd.,globe-pharmaceuticals-ltd-31
90,Globex Pharmaceuticals Ltd.,globex-pharmaceuticals-ltd-120
91,Gonoshasthaya Pharma Ltd.,gonoshasthaya-pharma-ltd-32
92,Goodman Pharmaceuticals Ltd.,goodman-pharmaceuticals-ltd-268
93,Gosun Pharma Corp.,gosun-pharma-corp-226
94,Greenland Pharmaceuticals Ltd.,greenland-pharmaceuticals-ltd-212
95,Grifols Biologicals LLC,grifols-biologicals-llc-149
96,Guardian Healthcare Ltd.,guardian-healthcare-ltd-261
97,Gulf pharmaceutical industries,gulf-pharmaceutical-industries-320
98,Hallmark Pharmaceuticals Ltd.,hallmark-pharmaceuticals-ltd-100
99,Hamdard Bangladesh,hamdard-bangladesh-34
100,Hamlen Pharmaceuticals; Germany,hamlen-pharmaceuticals-germany-298
101,Healthcare Pharmaceuticals Ltd.,healthcare-pharmaceuticals-ltd-85
102,Hexal AG; Germany,hexal-ag-germany-235
103,HLL Lifecare Limited,hll-lifecare-limited-315
104,Hudson Pharmaceuticals Ltd.,hudson-pharmaceuticals-ltd-33
105,Ibn Sina Pharmaceuticals Ltd.,ibn-sina-pharmaceuticals-ltd-35
106,Incepta Pharmaceuticals Ltd.,incepta-pharmaceuticals-ltd-106
107,Indo Bangla Pharmaceutical,indo-bangla-pharmaceutical-99
108,Innovative Pharma (Albion),innovative-pharma-albion-108
