Brand_ID,Brand_Name,Type,Slug,Dosage_Form_ID,Generic_ID,Strength,Manufacturer_ID
1,1stCef,allopathic,1stcefcapsule500-mg,2,299,500 mg,136
2,3Bion,allopathic,3biontablet100-mg200-mg200-mcg,92,,100 mg+200 mg+200 mcg,114
3,3-C,allopathic,3-ccapsule200-mg,2,304,200 mg,67
4,3-C,allopathic,3-ccapsule400-mg,2,304,400 mg,67
5,3-C,allopathic,3-cpowder-for-suspension100-mg5-ml,75,304,100 mg/5 ml,67
6,3D,allopathic,3dcapsule20000-iu,2,410,20000 IU,114
7,3D,allopathic,3dcapsule40000-iu,2,410,40000 IU,114
8,3-F,allopathic,3-ftablet500-mg,92,945,500 mg,67
9,3-Geocef,allopathic,3-geocefcapsule200-mg,2,304,200 mg,98
10,3-Geocef,allopathic,3-geocefpowder-for-suspension100-mg5-ml,75,304,100 mg/5 ml,98
11,3RD Cef,allopathic,3rd-cefpowder-for-suspension100-mg5-ml,75,304,100 mg/5 ml,136
12,3RD Cef,allopathic,3rd-ceftablet200-mg,92,304,200 mg,136
13,3RD Cef,allopathic,3rd-ceftablet400-mg,92,304,400 mg,136
14,5 FU PhaRes,allopathic,5-fu-pharesiv-injection-or-infusion25-mgml,39,666,25 mg/ml,176
15,5-Fluril,allopathic,5-fluriliv-injection-or-infusion25-mgml,39,666,25 mg/ml,225
16,5X,allopathic,5xtablet30-mg,92,1632,30 mg,196
17,AB Kit,allopathic,ab-kittablet200-mg200-mcg,92,1066,200 mg+200 mcg,196
18,A-B1,allopathic,a-b1tablet100-mg,92,1572,100 mg,4
19,Abac,allopathic,abaccapsule500-mg,2,321,500 mg,48
20,Abac,allopathic,abacpediatric-drops125-mg125-ml,72,321,125 mg/1.25 ml,48
21,Abac,allopathic,abacpowder-for-suspension125-mg5-ml,75,321,125 mg/5 ml,48
22,Abaclor,allopathic,abaclorcapsule250-mg,2,298,250 mg,2
23,Abaclor,allopathic,abaclorcapsule500-mg,2,298,500 mg,2
24,Abaclor,allopathic,abaclorpediatric-drops125-mg125-ml,72,298,125 mg/1.25 ml,2
25,Abaclor,allopathic,abaclorpowder-for-suspension125-mg5-ml,75,298,125 mg/5 ml,2
26,Abacten,allopathic,abactenpowder-for-suspension200-mg5-ml,75,142,200 mg/5 ml,24
27,Abacten,allopathic,abactentablet500-mg,92,142,500 mg,24
28,Abasaglar,allopathic,abasaglarsc-injection100-iuml,80,837,100 IU/ml,71
29,Abasaglar,allopathic,abasaglarsc-injection100-iuml,80,837,100 IU/ml,71
30,Abdolax,allopathic,abdolaxoral-solution5-mg5-ml,69,1486,5 mg/5 ml,106
31,Abdolax,allopathic,abdolaxtablet10-mg,92,1486,10 mg,106
32,Abdorin,allopathic,abdorinsyrup10-mg5-ml,91,499,10 mg/5 ml,165
33,Abdorin,allopathic,abdorintablet10-mg,92,499,10 mg,165
34,AB-DS,allopathic,ab-dschewable-tablet400-mg,9,34,400 mg,187
35,Abecab,allopathic,abecabtablet5-mg20-mg,92,85,5 mg+20 mg,2
36,Abecab,allopathic,abecabtablet5-mg40-mg,92,85,5 mg+40 mg,2
37,Abeclib,allopathic,abeclibtablet200-mg,92,3,200 mg,73
38,Aben-DS,allopathic,aben-dschewable-tablet400-mg,9,34,400 mg,224
39,Abentel,allopathic,abentelchewable-tablet400-mg,9,34,400 mg,25
40,Abetis,allopathic,abetistablet10-mg,92,1193,10 mg,2
41,Abetis,allopathic,abetistablet20-mg,92,1193,20 mg,2
42,Abetis,allopathic,abetistablet40-mg,92,1193,40 mg,2
43,Abetis Plus,allopathic,abetis-plustablet20-mg125-mg,92,1194,20 mg+12.5 mg,2
44,Abetis Plus,allopathic,abetis-plustablet40-mg125-mg,92,1194,40 mg+12.5 mg,2
45,Abex,allopathic,abexsyrup30-mg100-mg125-mg5-ml,91,1344,(30 mg+100 mg+1.25 mg)/5 ml,105
46,Abicon,allopathic,abiconoral-suspension500-mg100-mg5-ml,70,1464,(500 mg+100 mg)/5 ml,101
47,Abiret,allopathic,abirettablet250-mg,92,5,250 mg,66
48,Abixa,allopathic,abixatablet10-mg,92,1025,10 mg,2
49,ABO Kit,allopathic,abo-kittablet200-mg200-mcg,92,1066,200 mg+200 mcg,89
50,Abolib,herbal,abolibcapsule60-mg,2,718,60 mg,233
51,ABpres,allopathic,abpresophthalmic-solution0205,62,219,0.2%+0.5%,150
52,Absol,allopathic,absolsyrup2-mg5-ml,91,1419,2 mg/5 ml,181
53,AC PR,allopathic,ac-prtablet100-mg,92,9,100 mg,173
54,A-Cal,allopathic,a-caltablet500-mg,92,253,500 mg,4
55,A-Cal D,allopathic,a-cal-dtablet500-mg200-iu,92,257,500 mg+200 IU,4
56,A-Cal DX,allopathic,a-cal-dxtablet500-mg400-iu,92,257,500 mg+400 IU,4
57,A-Calm,allopathic,a-calmtablet50-mg,92,1597,50 mg,4
58,A-Card,allopathic,a-cardtablet20-mg,92,869,20 mg,4
59,A-Care,allopathic,a-caretablet6-mg200-mg50-mg,92,178,6 mg+200 mg+50 mg,26
60,Acaril,allopathic,acariltablet50-mg,92,8,50 mg,226
61,Accolate,allopathic,accolatetablet20-mg,92,1693,20 mg,28
62,Accuzith,allopathic,accuzithpowder-for-suspension200-mg5-ml,75,142,200 mg/5 ml,60
63,Accuzith,allopathic,accuzithtablet500-mg,92,142,500 mg,60
64,Ace,allopathic,aceoral-suspension120-mg5-ml,70,1238,120 mg/5 ml,217
65,Ace,allopathic,acepediatric-drops80-mgml,72,1238,80 mg/ml,217
66,Ace,allopathic,acesuppository125-mg,89,1238,125 mg,217
67,Ace,allopathic,acesuppository250-mg,89,1238,250 mg,217
68,Ace,allopathic,acesuppository500-mg,89,1238,500 mg,217
69,Ace,allopathic,acesyrup120-mg5-ml,91,1238,120 mg/5 ml,217
70,Ace,allopathic,acetablet500-mg,92,1238,500 mg,217
71,Ace Plus,allopathic,ace-plustablet500-mg65-mg,92,1240,500 mg+65 mg,217
72,Ace Power,allopathic,ace-powertablet1000-mg,92,1238,1000 mg,217
73,Ace XR,allopathic,ace-xrtablet-extended-release665-mg,96,1238,665 mg,217
74,Acebid,allopathic,acebidtablet100-mg,92,9,100 mg,31
75,Acecard,allopathic,acecardtablet125-mg,92,1364,1.25 mg,101
76,Acecard,allopathic,acecardtablet25-mg,92,1364,2.5 mg,101
77,Acecard,allopathic,acecardtablet5-mg,92,1364,5 mg,101
78,Aceclof,allopathic,acecloftablet100-mg,92,9,100 mg,186
79,Aceclofen,allopathic,aceclofentablet100-mg,92,9,100 mg,27
80,Aceclora,allopathic,acecloratablet100-mg,92,9,100 mg,134
81,Acecol,allopathic,acecoltablet100-mg,92,9,100 mg,240
82,Acedol,allopathic,acedoltablet100-mg,92,9,100 mg,53
83,Acedol SR,allopathic,acedol-srtablet-sustained-release200-mg,100,9,200 mg,53
84,Acedone-Z,allopathic,acedone-zchewable-tablet250-mg400-mg,9,57,250 mg+400 mg,239
85,Acedone-Z Plus,allopathic,acedone-z-pluschewable-tablet400-mg400-mg30-mg,9,58,400 mg+400 mg+30 mg,239
86,Acedone-Z Plus,allopathic,acedone-z-plusoral-suspension400-mg400-mg30-mg5-ml,70,58,(400 mg+400 mg+30 mg)/5 ml,239
87,Acefenac,allopathic,acefenactablet100-mg,92,9,100 mg,84
88,Acefra,allopathic,acefracapsule500-mg,2,321,500 mg,21
89,Acefra,allopathic,acefrapowder-for-suspension125-mg5-ml,75,321,125 mg/5 ml,21
90,Acegic,allopathic,acegictablet100-mg,92,9,100 mg,32
91,Acelex,allopathic,acelexcapsule250-mg,2,320,250 mg,4
92,Acelex,allopathic,acelexcapsule500-mg,2,320,500 mg,4
93,Acelex,allopathic,acelexpediatric-drops125-mg125-ml,72,320,125 mg/1.25 ml,4
